City,Total
서울,"2,956,297"
부산,"1,124,393"
대구,"910,807"
인천,"897,950"
광주,"496,302"
대전,"554,839"
울산,"429,135"
경기,"4,029,949"
강원,"588,836"
충북,"593,000"
충남,"799,644"
전북,"685,299"
전남,"687,960"
경북,"1,070,419"
경남,"1,310,143"
제주,"241,930"
세종,"181870"
