시도,계
서울,"212,447"
,"110,620"
,"55,492"
,"142,291"
,"96,731"
,"74,714"
,"109,674"
,"52,884"
,"129,353"
,"76,101"
,"68,936"
,"79,355"
,"87,027"
,"65,159"
,"141,194"
,"68,845"
,"91,146"
,"174,140"
,"119,235"
,"112,756"
,"62,788"
,"88,356"
,"59,789"
,"40,971"
,"77,785"
,"2,397,789"
부산,"21,128"
,"56,846"
,"24,092"
,"63,646"
,"37,227"
,"61,747"
,"102,634"
,"67,319"
,"60,455"
,"79,988"
,"19,647"
,"49,393"
,"69,466"
,"24,974"
,"14,818"
,"106,655"
,"860,035"
대구,"43,673"
,"176,094"
,"50,860"
,"94,529"
,"126,918"
,"51,859"
,"137,454"
,"20,604"
,"701,991"
인천,"16,147"
,"80,227"
,"101,846"
,"118,705"
,"18,132"
,"130,110"
,"104,033"
,"73,678"
,"4,328"
,"25,048"
,"672,254"
광주시,"93,433"
,"52,838"
,"24,590"
,"121,893"
,"90,380"
,"383,134"
대전,"61,369"
,"61,812"
,"151,282"
,"92,327"
,"73,462"
,"440,252"
울산,"110,700"
,"46,847"
,"57,806"
,"61,462"
,"66,782"
,"343,597"
경기,"14,571"
,"94,923"
,"80,407"
,"80,323"
,"19,316"
,"67,125"
,"73,994"
,"45,688"
,"67,554"
,"68,310"
,"130,181"
,"21,440"
,"49,402"
,"41,829"
,"111,218"
,"145,979"
,"47,215"
,"51,906"
,"86,828"
,"75,898"
,"74,834"
,"56,825"
,"112,622"
,"95,104"
,"91,481"
,"50,109"
,"94,259"
,"58,881"
,"48,655"
,"25,606"
,"31,576"
,"11,211"
,"44,713"
,"109,063"
,"91,988"
,"61,263"
,"37,221"
,"95,762"
,"58,807"
,"94,544"
,"125,998"
,"46,068"
,"37,239"
,"157,794"
,"3,085,730"
강원,"64,636"
,"7,123"
,"26,264"
,"17,903"
,"22,068"
,"5,084"
,"7,584"
,"9,885"
,"89,080"
,"8,083"
,"10,201"
,"11,443"
,"78,591"
,"13,777"
,"12,132"
,"16,852"
,"5,506"
,"10,799"
,"417,011"
충북,"8,074"
,"7,324"
,"7,489"
,"11,283"
,"12,970"
,"25,753"
,"35,711"
,"8,871"
,"18,235"
,"44,764"
,"69,454"
,"114,943"
,"55,500"
,"420,371"
충남,"14,193"
,"31,814"
,"13,628"
,"30,415"
,"40,194"
,"26,250"
,"15,788"
,"43,619"
,"14,179"
,"77,514"
,"21,767"
,"21,544"
,"70,014"
,"92,471"
,"6,840"
,"15,003"
,"21,273"
,"556,506"
전북,"11,990"
,"74,987"
,"23,275"
,"20,561"
,"5,209"
,"12,732"
,"5,965"
,"21,951"
,"80,012"
,"6,025"
,"4,635"
,"83,689"
,"95,344"
,"26,595"
,"6,019"
,"478,989"
전남,"7,548"
,"12,258"
,"6,268"
,"42,659"
,"5,669"
,"20,912"
,"11,128"
,"60,149"
,"16,555"
,"9,688"
,"70,452"
,"7,268"
,"71,393"
,"11,873"
,"14,783"
,"8,800"
,"11,248"
,"8,059"
,"6,500"
,"7,405"
,"15,198"
,"16,123"
,"441,936"
경북,"70,481"
,"78,737"
,"9,740"
,"122,157"
,"6,061"
,"33,699"
,"17,239"
,"6,807"
,"24,329"
,"12,038"
,"42,356"
,"8,498"
,"3,837"
,"28,047"
,"27,653"
,"10,074"
,"2,209"
,"12,164"
,"12,416"
,"10,922"
,"6,012"
,"37,767"
,"79,585"
,"78,271"
,"741,099"
경남,"62,672"
,"14,048"
,"13,511"
,"144,374"
,"9,150"
,"125,457"
,"27,249"
,"30,034"
,"7,677"
,"67,099"
,"6,551"
,"88,416"
,"50,672"
,"15,131"
,"231,975"
,"31,282"
,"11,122"
,"19,365"
,"10,444"
,"10,655"
,"976,884"
제주시,"40,414"
,"120,030"
,"160,444"
서울,"213,241"
,"110,938"
,"55,555"
,"142,883"
,"96,794"
,"74,965"
,"110,119"
,"52,928"
,"129,658"
,"76,086"
