시도,계
,"68,962"
,"79,590"
,"87,335"
,"65,245"
,"141,907"
,"69,141"
,"91,250"
,"174,849"
,"119,270"
,"112,622"
,"62,854"
,"88,871"
,"60,042"
,"41,171"
,"78,078"
,"2,404,354"
부산,"21,452"
,"56,983"
,"25,137"
,"63,930"
,"37,043"
,"61,789"
,"102,632"
,"67,499"
,"60,577"
,"80,170"
,"19,713"
,"49,618"
,"69,979"
,"25,076"
,"14,829"
,"106,729"
,"863,156"
대구,"43,748"
,"176,444"
,"51,026"
,"94,791"
,"127,002"
,"51,963"
,"138,291"
,"20,675"
,"703,940"
인천,"16,230"
,"80,300"
,"102,218"
,"119,169"
,"18,195"
,"130,490"
,"104,296"
,"73,928"
,"4,383"
,"25,163"
,"674,372"
광주시,"94,050"
,"52,879"
,"24,493"
,"122,214"
,"91,210"
,"384,846"
대전,"61,474"
,"62,048"
,"151,779"
,"92,949"
,"73,583"
,"441,833"
울산,"111,007"
,"46,867"
,"58,113"
,"61,673"
,"66,966"
,"344,626"
경기,"14,635"
,"95,430"
,"80,493"
,"80,400"
,"19,378"
,"68,201"
,"74,187"
,"45,717"
,"67,777"
,"68,832"
,"131,118"
,"21,440"
,"49,463"
,"42,071"
,"111,564"
,"147,529"
,"47,206"
,"51,893"
,"86,986"
,"76,006"
,"74,952"
,"56,971"
,"113,082"
,"95,580"
,"91,716"
,"50,376"
,"94,326"
,"59,011"
,"48,975"
,"25,701"
,"31,746"
,"11,220"
,"45,473"
,"110,204"
,"92,012"
,"61,358"
,"37,739"
,"95,711"
,"59,060"
,"94,865"
,"126,607"
,"46,622"
,"37,355"
,"158,421"
,"3,099,409"
강원,"64,751"
,"7,165"
,"26,299"
,"17,914"
,"22,065"
,"5,086"
,"7,610"
,"9,919"
,"89,811"
,"8,089"
,"10,222"
,"11,448"
,"78,843"
,"13,796"
,"12,148"
,"16,891"
,"5,520"
,"10,831"
,"418,408"
충북,"8,140"
,"7,337"
,"7,504"
,"11,326"
,"13,045"
,"25,836"
,"35,783"
,"8,906"
,"18,334"
,"44,964"
,"69,510"
,"115,580"
,"55,711"
,"421,976"
충남,"14,246"
,"31,936"
,"13,721"
,"30,530"
,"40,495"
,"26,274"
,"15,834"
,"43,768"
,"14,226"
,"77,813"
,"21,906"
,"21,631"
,"70,392"
,"92,867"
,"6,883"
,"15,028"
,"21,356"
,"558,906"
전북,"12,080"
,"75,325"
,"23,406"
,"20,627"
,"5,239"
,"12,845"
,"6,015"
,"22,090"
,"80,148"
,"6,052"
,"4,657"
,"84,067"
,"95,560"
,"26,696"
,"6,092"
,"480,899"
전남,"7,609"
,"12,336"
,"6,352"
,"42,847"
,"5,728"
,"21,048"
,"11,173"
,"60,294"
,"16,704"
,"9,764"
,"70,877"
,"7,358"
,"71,754"
,"11,904"
,"14,909"
,"8,862"
,"11,364"
,"8,114"
,"6,546"
,"7,508"
,"15,228"
,"16,236"
,"444,515"
경북,"70,653"
,"78,960"
,"9,801"
,"122,792"
,"6,136"
,"33,759"
,"17,335"
,"6,838"
,"24,450"
,"12,075"
,"42,482"
,"8,518"
,"3,843"
,"28,140"
,"27,744"
,"10,087"
,"2,227"
,"12,194"
,"12,470"
,"11,001"
,"6,015"
,"37,856"
,"79,857"
,"78,608"
,"743,841"
경남,"63,118"
,"14,134"
,"13,533"
,"145,190"
,"9,212"
,"126,292"
,"27,381"
,"30,076"
,"7,781"
,"67,730"
,"6,589"
,"88,928"
,"51,095"
,"15,234"
,"234,252"
,"31,394"
,"11,119"
,"19,470"
,"10,563"
,"10,705"
,"983,796"
제주시,"40,425"
,"120,444"
,"160,869"
서울,"213,501"
,"111,346"
,"55,512"
,"143,739"
,"96,720"
,"75,166"
,"110,164"
,"52,951"
,"129,677"
,"76,102"
,"69,286"
,"79,670"
,"87,563"
,"65,337"
,"142,654"
,"69,343"
,"91,313"
,"174,966"
,"119,370"
,"112,157"
,"63,151"
,"89,305"
,"59,700"
,"41,581"
,"78,246"
,"2,408,520"
부산,"21,716"
,"57,223"
,"25,920"
,"64,124"
,"36,740"
,"61,913"
,"102,494"
,"67,664"
,"61,057"
,"80,281"
,"19,756"
,"49,680"
,"69,587"
,"25,163"
,"14,885"
,"106,970"
,"865,173"
대구,"43,810"
,"177,003"
,"51,349"
,"95,374"
,"127,206"
,"52,087"
,"138,776"
,"20,733"
,"706,338"
인천,"16,329"
,"80,584"
,"102,549"
,"119,433"
,"18,345"
,"130,863"
,"104,690"
,"74,542"
,"4,437"
,"25,448"
,"677,220"
광주시,"94,902"
,"53,064"
,"24,497"
,"122,461"
,"91,740"
,"386,664"
대전,"61,720"
,"62,127"
,"152,200"
,"93,877"
,"73,861"
,"443,785"
울산,"111,244"
,"46,917"
,"58,357"
,"61,938"
,"67,379"
,"345,835"
경기,"14,645"
,"95,981"
,"80,658"
,"80,556"
,"19,352"
,"69,602"
,"74,717"
,"45,784"
,"68,110"
,"69,274"
,"132,659"
,"21,605"
,"49,636"
,"42,207"
,"111,872"
,"148,583"
,"47,223"
,"51,881"
,"87,050"
,"76,099"
,"74,979"
,"57,171"
,"113,586"
,"96,139"
,"91,830"
,"50,685"
,"94,488"
,"59,181"
,"49,401"
,"25,865"
,"31,850"
,"11,220"
,"46,295"
,"111,056"
,"92,392"
,"61,770"
,"38,226"
,"95,808"
,"59,522"
,"95,668"
,"127,355"
,"46,789"
,"37,463"
,"159,602"
,"3,115,835"
강원,"64,894"
,"7,201"
,"26,339"
,"18,029"
,"22,119"
,"5,067"
,"7,640"
,"10,010"
,"90,003"
,"8,158"
,"10,277"
,"11,493"
,"79,219"
,"13,953"
,"12,198"
,"16,922"
,"5,570"
,"10,926"
,"420,018"
충북,"8,238"
,"7,404"
,"7,542"
,"11,391"
,"13,146"
,"25,986"
,"35,908"
,"8,943"
,"18,407"
,"45,317"
,"69,294"
,"116,442"
,"56,014"
,"424,032"
충남,"14,232"
,"32,118"
,"13,808"
,"30,688"
,"40,862"
,"26,481"
,"15,878"
,"43,964"
,"14,316"
,"78,162"
,"22,091"
,"21,701"
,"70,779"
,"93,243"
,"6,932"
,"15,105"
,"21,382"
,"561,742"
전북,"12,166"
,"75,773"
,"23,508"
,"20,693"
,"5,295"
,"12,935"
,"6,083"
,"22,268"
,"80,448"
,"6,115"
,"4,714"
,"84,330"
,"95,941"
,"26,736"
,"6,165"
,"483,170"
전남,"7,661"
,"12,420"
,"6,405"
,"43,076"
,"5,804"
,"21,171"
,"11,275"
,"60,500"
,"16,802"
,"9,812"
,"71,130"
,"7,425"
,"72,013"
,"11,976"
,"15,016"
,"8,931"
,"11,456"
,"8,172"
,"6,592"
,"7,571"
,"15,326"
,"16,292"
,"446,826"
경북,"70,623"
,"79,145"
,"9,867"
,"123,229"
,"6,163"
,"33,998"
,"17,420"
,"6,905"
,"24,576"
,"12,125"
,"42,637"
,"8,585"
,"3,882"
,"28,252"
,"27,717"
,"10,120"
,"2,272"
,"12,243"
,"12,511"
,"11,046"
,"6,053"
,"37,997"
,"80,173"
,"78,811"
,"746,350"
경남,"63,341"
,"14,217"
,"13,634"
,"145,993"
,"9,294"
,"127,074"
,"27,460"
,"30,289"
,"7,817"
,"68,190"
,"6,659"
,"89,252"
,"51,394"
,"15,337"
,"237,801"
,"31,525"
,"11,190"
,"19,622"
,"10,833"
,"10,747"
,"991,669"
제주시,"40,586"
,"121,012"
,"161,598"
서울,"207,628"
,"111,567"
,"55,692"
,"144,029"
,"96,745"
,"75,643"
,"110,353"
,"53,001"
,"130,026"
,"76,202"
,"69,498"
,"79,884"
,"87,687"
,"65,418"
,"142,866"
,"69,610"
,"91,413"
,"175,453"
,"119,561"
,"112,015"
,"63,233"
,"89,619"
,"59,622"
,"47,342"
,"78,377"
,"2,412,484"
부산,"21,797"
,"57,389"
,"26,349"
,"64,303"
,"37,474"
,"62,029"
,"102,488"
,"67,850"
,"61,314"
,"80,548"
,"19,825"
,"50,586"
,"69,220"
,"25,231"
,"14,865"
,"107,332"
,"868,600"
대구,"44,590"
,"177,838"
,"51,406"
,"95,677"
,"127,356"
,"52,232"
,"138,734"
,"20,690"
,"708,523"
인천,"16,398"
,"80,912"
,"102,909"
,"119,699"
,"18,475"
,"131,453"
,"105,161"
,"74,937"
,"4,454"
,"25,621"
,"680,019"
광주시,"95,851"
,"53,140"
,"24,499"
,"122,954"
,"91,720"
,"388,164"
대전,"61,948"
,"62,426"
,"152,386"
,"94,242"
,"74,157"
,"445,159"
울산,"111,052"
,"46,864"
,"58,727"
,"62,058"
,"67,675"
,"346,376"
경기,"14,696"
,"96,496"
,"80,821"
,"80,729"
,"19,367"
,"70,810"
,"75,100"
,"45,848"
,"68,284"
,"69,520"
,"134,289"
,"21,769"
,"49,748"
,"42,236"
,"112,550"
,"148,562"
,"47,346"
,"52,021"
,"87,292"
,"76,293"
,"75,222"
,"57,369"
,"114,224"
,"96,721"
,"91,893"
,"50,944"
,"94,568"
,"59,322"
,"49,910"
,"26,062"
,"32,011"
,"11,256"
,"47,167"
,"111,765"
,"92,583"
,"62,191"
,"38,523"
,"95,853"
,"59,860"
,"96,305"
,"127,976"
,"46,950"
,"37,553"
,"160,521"
,"3,130,526"
강원,"64,988"
,"7,240"
,"26,417"
,"18,109"
,"22,194"
,"5,112"
,"7,659"
,"10,083"
,"90,263"
,"8,236"
,"10,318"
,"11,517"
,"79,642"
,"14,070"
,"12,238"
,"16,995"
,"5,592"
,"10,970"
,"421,643"
충북,"8,313"
,"7,446"
,"7,586"
,"11,475"
,"13,228"
,"26,194"
,"36,094"
,"8,990"
,"18,496"
,"45,520"
,"69,541"
,"116,919"
,"56,372"
,"426,174"
충남,"14,304"
,"32,229"
,"13,865"
,"30,775"
,"41,266"
,"26,664"
,"15,996"
,"44,176"
,"14,377"
,"78,648"
,"22,313"
,"21,805"
,"71,169"
,"93,794"
,"6,986"
,"15,185"
,"21,518"
,"565,070"
전북,"12,288"
,"76,242"
,"23,660"
,"20,820"
,"5,342"
,"13,074"
,"6,154"
,"22,469"
,"80,820"
,"6,160"
,"4,765"
,"84,669"
,"96,505"
,"26,894"
,"6,271"
,"486,133"
전남,"7,736"
,"12,514"
,"6,458"
,"43,281"
,"5,841"
,"21,336"
,"11,278"
,"60,711"
,"16,996"
,"9,871"
,"71,678"
,"7,560"
,"72,440"
,"12,107"
,"15,097"
,"9,026"
,"11,564"
,"8,249"
,"6,634"
,"7,593"
,"15,426"
,"16,436"
,"449,832"
경북,"71,204"
,"79,462"
,"9,901"
,"124,026"
,"6,197"
,"34,262"
,"17,544"
,"6,981"
,"24,673"
,"12,211"
,"42,787"
,"8,670"
,"3,903"
,"28,346"
,"27,827"
,"10,199"
,"2,326"
,"12,314"
,"12,590"
,"11,098"
,"6,108"
,"38,195"
,"80,610"
,"79,159"
,"750,593"
경남,"63,619"
,"14,295"
,"13,657"
,"146,820"
,"9,319"
,"127,704"
,"27,550"
,"30,496"
,"7,888"
,"68,714"
,"6,706"
,"89,518"
,"51,628"
,"15,419"
,"240,717"
,"31,714"
,"11,268"
,"19,771"
,"10,861"
,"10,809"
,"998,473"
제주시,"40,813"
,"121,817"
,"162,630"
서울,"201,338"
,"111,639"
,"55,689"
,"144,429"
,"96,762"
,"75,806"
,"110,866"
,"53,151"
,"130,131"
,"76,173"
,"69,640"
,"80,021"
,"87,896"
,"65,425"
,"143,096"
,"69,767"
,"91,622"
,"175,508"
,"119,530"
,"111,791"
,"63,418"
,"89,763"
,"59,483"
,"47,355"
,"78,397"
,"2,408,696"
부산,"21,981"
,"57,535"
,"26,703"
,"64,240"
,"37,749"
,"62,235"
,"104,616"
,"68,032"
,"61,507"
,"80,606"
,"19,922"
,"50,884"
,"68,710"
,"25,302"
,"14,798"
,"107,587"
,"872,407"
대구,"44,489"
,"178,745"
,"51,498"
,"95,970"
,"127,748"
,"52,225"
,"144,512"
,"22,006"
,"717,193"
인천,"16,443"
,"81,213"
,"103,186"
,"119,957"
,"18,518"
,"131,838"
,"105,500"
,"75,136"
,"4,524"
,"25,771"
,"682,086"
광주시,"96,636"
,"53,488"
,"24,531"
,"123,328"
,"92,235"
,"390,218"
대전,"62,064"
,"62,596"
,"152,799"
,"94,766"
,"74,433"
,"446,658"
울산,"111,115"
,"46,842"
,"59,037"
,"62,426"
,"68,169"
,"347,589"
경기,"14,775"
,"96,692"
,"80,868"
,"80,848"
,"19,324"
,"71,726"
,"75,386"
,"45,921"
,"68,621"
,"70,079"
,"135,852"
,"21,928"
,"49,889"
,"42,332"
,"112,687"
,"149,036"
,"47,352"
,"52,027"
,"87,597"
,"76,330"
,"75,406"
,"57,229"
,"114,556"
,"97,180"
,"92,179"
,"51,188"
,"94,694"
,"59,649"
,"50,732"
,"26,325"
,"32,142"
,"11,302"
,"48,021"
,"111,993"
,"92,882"
,"62,533"
,"38,707"
,"95,880"
,"60,120"
,"96,734"
,"128,484"
,"47,277"
,"37,618"
,"161,505"
,"3,143,606"
강원,"65,238"
,"7,288"
,"26,479"
,"18,185"
,"22,258"
,"5,146"
,"7,665"
,"10,122"
,"90,787"
,"8,281"
,"10,356"
,"11,557"
,"79,868"
,"14,123"
,"12,261"
,"17,065"
,"5,642"
,"11,028"
,"423,349"
충북,"8,372"
,"7,502"
,"7,632"
,"11,527"
,"13,280"
,"26,399"
,"36,295"
,"9,019"
,"18,585"
,"45,713"
,"69,672"
,"117,698"
,"56,596"
,"428,290"
충남,"14,375"
,"32,321"
,"13,911"
,"30,833"
,"41,558"
,"26,763"
,"16,017"
,"44,351"
,"14,417"
,"79,072"
,"22,436"
,"21,903"
,"71,362"
,"94,357"
,"7,030"
,"15,301"
,"21,572"
,"567,579"
전북,"12,373"
,"76,626"
,"23,740"
,"20,874"
,"5,396"
,"13,142"
,"6,189"
,"22,615"
,"81,099"
,"6,180"
,"4,797"
,"84,991"
,"97,166"
,"27,285"
,"6,291"
,"488,764"
전남,"7,789"
,"12,601"
,"6,486"
,"43,478"
,"5,866"
,"21,513"
,"11,292"
,"60,873"
,"17,117"
,"9,913"
,"71,983"
,"7,619"
,"72,670"
,"12,187"
,"15,114"
,"9,072"
,"11,567"
,"8,269"
,"6,673"
,"7,622"
,"15,468"
,"16,460"
,"451,632"
경북,"71,314"
,"79,573"
,"9,940"
,"124,511"
,"6,231"
,"34,363"
,"17,595"
,"7,014"
,"24,829"
,"12,247"
,"42,969"
,"8,678"
,"3,948"
,"28,479"
,"27,889"
,"10,282"
,"2,368"
,"12,448"
,"12,645"
,"11,110"
,"6,125"
,"38,362"
,"80,828"
,"79,319"
,"753,067"
경남,"63,877"
,"14,358"
,"13,736"
,"147,673"
,"9,362"
,"128,346"
,"27,665"
,"30,586"
,"7,951"
,"69,098"
,"6,748"
,"89,728"
,"51,858"
,"15,526"
,"241,228"
,"31,830"
,"11,330"
,"19,887"
,"10,997"
,"10,854"
,"1,002,638"
제주시,"40,960"
,"122,341"
,"163,301"
서울,"202,207"
,"111,979"
,"56,270"
,"144,995"
,"96,893"
,"75,813"
,"111,288"
,"53,423"
,"130,284"
,"76,099"
,"69,732"
,"80,094"
,"88,053"
,"65,443"
,"144,249"
,"69,933"
,"91,795"
,"175,867"
,"119,662"
,"111,630"
,"63,250"
,"90,114"
,"59,059"
,"47,829"
,"78,697"
,"2,414,658"
부산,"22,182"
,"57,651"
,"27,002"
,"64,551"
,"37,339"
,"62,413"
,"104,605"
,"68,254"
,"62,109"
,"80,778"
,"19,904"
,"50,889"
,"68,531"
,"25,395"
,"14,700"
,"107,958"
,"874,261"
대구,"44,457"
,"179,469"
,"51,728"
,"96,522"
,"128,112"
,"52,407"
,"144,737"
,"22,075"
,"719,507"
인천,"16,485"
,"81,482"
,"103,846"
,"120,415"
,"18,601"
,"132,400"
,"106,124"
,"75,454"
,"4,578"
,"26,002"
,"685,387"
광주시,"97,412"
,"53,872"
,"24,548"
,"123,789"
,"92,767"
,"392,388"
대전,"62,189"
,"62,825"
,"152,965"
,"95,181"
,"75,036"
,"448,196"
울산,"111,312"
,"46,816"
,"59,369"
,"62,700"
,"68,351"
,"348,548"
경기,"14,792"
,"96,962"
,"80,745"
,"80,854"
,"19,323"
,"72,404"
,"76,076"
,"45,956"
,"69,033"
,"70,318"
,"137,244"
,"22,205"
,"49,968"
,"42,514"
,"113,012"
,"149,407"
,"47,340"
,"52,002"
,"88,035"
,"76,624"
,"75,525"
,"57,073"
,"114,972"
,"97,607"
,"92,433"
,"51,596"
,"94,827"
,"59,795"
,"51,312"
,"26,488"
,"32,221"
,"11,295"
,"49,395"
,"112,431"
,"93,423"
,"62,896"
,"38,768"
,"96,053"
,"60,394"
,"97,510"
,"128,930"
,"47,420"
,"37,652"
,"162,021"
,"3,156,851"
강원,"65,463"
,"7,304"
,"26,577"
,"18,238"
,"22,459"
,"5,165"
,"7,682"
,"10,152"
,"91,356"
,"8,317"
,"10,372"
,"11,595"
,"80,256"
,"14,157"
,"12,262"
,"17,146"
,"5,702"
,"11,041"
,"425,244"
충북,"8,419"
,"7,547"
,"7,683"
,"11,549"
,"13,351"
,"26,559"
,"36,532"
,"9,057"
,"18,682"
,"45,874"
,"69,461"
,"118,998"
,"56,928"
,"430,640"
충남,"14,434"
,"32,488"
,"14,032"
,"31,013"
,"41,905"
,"26,907"
,"16,090"
,"44,464"
,"14,477"
,"79,452"
,"22,507"
,"22,012"
,"71,882"
,"94,747"
,"7,053"
,"15,342"
,"21,683"
,"570,488"
전북,"12,402"
,"76,970"
,"23,842"
,"20,947"
,"5,397"
,"13,211"
,"6,191"
,"22,755"
,"81,379"
,"6,163"
,"4,797"
,"85,551"
,"97,636"
,"27,431"
,"6,268"
,"490,940"
전남,"7,821"
,"12,613"
,"6,518"
,"43,592"
,"5,864"
,"21,609"
,"11,340"
,"61,113"
,"17,301"
,"9,943"
,"72,394"
,"7,651"
,"73,104"
,"12,215"
,"15,151"
,"9,116"
,"11,653"
,"8,337"
,"6,706"
,"7,658"
,"15,583"
,"16,478"
,"453,760"
경북,"71,720"
,"79,788"
,"9,943"
,"125,133"
,"6,234"
,"34,483"
,"17,687"
,"7,043"
,"24,954"
,"12,292"
,"43,058"
,"8,693"
,"3,935"
,"28,589"
,"27,985"
,"10,304"
,"2,384"
,"12,476"
,"12,686"
,"11,152"
,"6,139"
,"38,491"
,"81,162"
,"79,642"
,"755,973"
경남,"64,005"
,"14,395"
,"13,810"
,"148,597"
,"9,407"
,"129,225"
,"27,769"
,"30,760"
,"8,000"
,"69,294"
,"6,759"
,"90,102"
,"52,131"
,"15,609"
,"244,381"
,"31,969"
,"11,383"
,"19,963"
,"11,182"
,"10,839"
,"1,009,580"
제주시,"41,058"
,"123,118"
,"164,176"
서울,"202,418"
,"112,219"
,"56,757"
,"145,488"
,"97,150"
,"76,418"
,"110,944"
,"53,722"
,"130,490"
,"76,105"
,"69,891"
,"80,431"
,"88,256"
,"65,426"
,"144,252"
,"69,969"
,"92,454"
,"176,132"
,"119,870"
,"111,509"
,"63,238"
,"90,611"
,"58,877"
,"48,217"
,"78,867"
,"2,419,711"
부산,"22,441"
,"57,800"
,"27,294"
,"64,810"
,"37,004"
,"62,596"
,"104,851"
,"68,455"
,"62,555"
,"80,976"
,"19,945"
,"50,896"
,"64,097"
,"25,436"
,"14,556"
,"108,454"
,"872,166"
대구,"44,595"
,"180,289"
,"51,881"
,"97,194"
,"128,304"
,"52,634"
,"145,090"
,"27,483"
,"727,470"
인천,"16,523"
,"81,770"
,"104,206"
,"120,919"
,"18,588"
,"133,111"
,"106,740"
,"75,796"
,"4,642"
,"26,227"
,"688,522"
광주시,"98,180"
,"54,229"
,"24,739"
,"124,301"
,"93,439"
,"394,888"
대전,"62,384"
,"63,039"
,"153,453"
,"95,594"
,"75,378"
,"449,848"
울산,"111,631"
,"46,864"
,"59,718"
,"63,143"
,"68,613"
,"349,969"
경기,"14,897"
,"97,210"
,"80,874"
,"80,878"
,"19,359"
,"72,983"
,"76,456"
,"46,023"
,"69,396"
,"70,584"
,"138,682"
,"22,435"
,"50,069"
,"42,683"
,"113,180"
,"150,102"
,"47,413"
,"52,102"
,"88,149"
,"76,902"
,"75,833"
,"56,961"
,"115,464"
,"98,031"
,"93,017"
,"52,035"
,"95,062"
,"60,097"
,"51,692"
,"26,714"
,"32,403"
,"11,292"
,"50,399"
,"112,617"
,"94,303"
,"63,197"
,"38,934"
,"96,452"
,"60,691"
,"98,293"
,"129,318"
,"47,944"
,"37,748"
,"163,130"
,"3,172,004"
강원,"65,714"
,"7,306"
,"26,703"
,"18,289"
,"22,612"
,"5,205"
,"7,678"
,"10,204"
,"92,007"
,"8,353"
,"10,421"
,"11,618"
,"80,542"
,"14,206"
,"12,249"
,"17,225"
,"5,729"
,"11,043"
,"427,104"
충북,"8,426"
,"7,585"
,"7,703"
,"11,647"
,"13,354"
,"26,716"
,"36,739"
,"9,166"
,"18,802"
,"46,004"
,"69,574"
,"119,875"
,"57,255"
,"432,846"
충남,"14,496"
,"32,705"
,"14,060"
,"31,129"
,"42,272"
,"27,055"
,"16,122"
,"44,824"
,"14,535"
,"79,966"
,"22,697"
,"22,801"
,"72,254"
,"95,401"
,"7,086"
,"15,421"
,"21,792"
,"574,616"
전북,"12,534"
,"77,350"
,"23,831"
,"21,059"
,"5,414"
,"13,260"
,"6,229"
,"22,838"
,"81,687"
,"6,199"
,"4,800"
,"85,967"
,"98,167"
,"27,560"
,"6,243"
,"493,138"
전남,"7,855"
,"12,656"
,"6,547"
,"43,818"
,"5,890"
,"21,645"
,"11,396"
,"61,295"
,"17,373"
,"9,954"
,"72,684"
,"7,746"
,"73,488"
,"12,295"
,"15,212"
,"9,186"
,"11,644"
,"8,408"
,"6,749"
,"7,721"
,"15,682"
,"16,465"
,"455,709"
경북,"71,972"
,"80,074"
,"9,979"
,"125,798"
,"6,222"
,"34,532"
,"17,775"
,"7,075"
,"25,064"
,"12,360"
,"43,151"
,"8,748"
,"3,938"
,"28,731"
,"28,094"
,"10,315"
,"2,438"
,"12,509"
,"12,733"
,"11,174"
,"6,159"
,"38,650"
,"81,497"
,"79,880"
,"758,868"
경남,"64,226"
,"14,431"
,"13,850"
,"149,354"
,"9,449"
,"27,907"
,"30,911"
,"8,000"
,"69,826"
,"6,789"
,"90,513"
,"15,748"
,"51,688"
,"78,341"
,"163,617"
,"83,465"
,"52,315"
,"32,132"
,"11,401"
,"20,003"
,"11,388"
,"10,872"
,"1,016,226"
제주시,"41,459"
,"124,978"
,"166,437"
서울,"222,748"
,"112,239"
,"57,016"
,"145,535"
,"97,162"
,"74,862"
,"110,881"
,"53,793"
,"130,568"
,"76,027"
,"69,966"
,"80,754"
,"88,549"
,"65,360"
,"144,180"
,"70,168"
,"92,833"
,"176,411"
,"119,412"
,"111,051"
,"63,465"
,"91,139"
,"40,026"
,"48,834"
,"79,002"
,"2,421,981"
부산,"22,563"
,"58,025"
,"27,561"
,"64,934"
,"37,419"
,"62,741"
,"104,916"
,"68,538"
,"62,929"
,"81,200"
,"19,971"
,"51,700"
,"64,035"
,"25,465"
,"14,444"
,"108,600"
,"875,041"
대구,"44,624"
,"180,450"
,"52,273"
,"97,447"
,"128,635"
,"52,644"
,"145,590"
,"27,428"
,"729,091"
인천,"16,599"
,"82,038"
,"106,304"
,"121,170"
,"18,555"
,"131,369"
,"107,278"
,"76,035"
,"4,667"
,"26,340"
,"690,355"
광주시,"98,738"
,"54,480"
,"24,692"
,"124,753"
,"93,531"
,"396,194"
대전,"62,026"
,"63,203"
,"153,885"
,"96,149"
,"75,992"
,"451,255"
울산,"111,845"
,"46,912"
,"59,782"
,"63,484"
,"68,881"
,"350,904"
경기,"14,948"
,"97,161"
,"80,949"
,"80,685"
,"19,331"
,"73,284"
,"76,933"
,"46,073"
,"69,696"
,"70,874"
,"139,535"
,"22,628"
,"50,144"
,"42,883"
,"112,901"
,"150,676"
,"47,487"
,"52,087"
