시도명,차량합계
서울,2724426
부산,1216859
대구,1060155
인천,1306200
광주,616356
대전,613117
울산,520239
세종,181870
경기,5636384
충북,754760
충남,1008084
전남,791055
경북,1195419
경남,1540581
제주,342063
강원,685440
전북,783239
